"혈","부위","판정","판정 근거","기대 층 (해부학)","문제","근거 문헌","제안 조치","방향 편차(°)","현재 경로 (첫 뼈·장기까지, mm)","평균 법선 경로 (편차 15° 이상만)","10 mm 이상 빈 구간","5 mm 이내 근접인데 표시 안 되는 위험구조","교차하는 위험구조","원문 자침법","검수 판정","검수 의견"
"GV9","등·허리","중대","자동(방향)","","","","","34","Ascending part trapezius 7 → latissimus dorsi 12.7 → Supraspinous ligament 16.2 → spinalis thoracis 18.5 → Eighth thoracic vertebra 31.9","Ascending part trapezius 7.2 → multifidus 10.6 → latissimus dorsi 12.9 → spinalis thoracis 18.6 → semispinalis thoracis 26.2 → thoracic rotator 35.2 → Eighth thoracic vertebra 39.6","21→32mm(Eighth thoracic vertebra 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV12","등·허리","중대","자동(방향)","","","","","36","Ascending part trapezius 8.6 → Ascending part trapezius 10.5 → rhomboid major 13.6 → splenius capitis 15 → Supraspinous ligament 16.3 → splenius cervicis 17.4 → semispinalis thoracis 29.3 → Fourth thoracic vertebra 42.6","Ascending part trapezius 5.3 → rhomboid major 15.2 → multifidus 19.6 → splenius cervicis 23 → multifidus 23.2 → semispinalis thoracis 33.7 → semispinalis cervicis 39.7 → Fourth thoracic vertebra 48.6","19→29mm(semispinalis thoracis 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV13","등·허리","중대","자동(방향)","","","","","27","Transverse part trapezius 13.3 → rhomboid major 18.8 → splenius capitis 21.4 → splenius capitis 22.8 → serratus posterior superior 24 → Supraspinous ligament 26.5 → Second thoracic vertebra 26.9","Transverse part trapezius 13.2 → Transverse part trapezius 15.6 → rhomboid major 19.4 → splenius capitis 19.7 → serratus posterior superior 21.5 → Supraspinous ligament 25.2 → Second thoracic vertebra 42.2","0→13mm(Transverse part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"SI15","목·어깨윗부분","중대","수동","등세모근 → 어깨올림근/작은마름근 → 위뒤톱니근 → 목널판근 → 엉덩갈비근","방향 54~63° 편차로 T3 척추체(65 mm) 쪽으로 감","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 88 mm","방향 보정","54","Transverse part trapezius 17.3 → rhomboid major 38.9 → multifidus 39.2 → splenius capitis 42 → serratus posterior superior 44.1 → splenius cervicis 48.1 → semispinalis thoracis 51.9 → Third thoracic vertebra 65.2","Transverse part trapezius 12.6 → levator scapulae 34.9 → iliocostalis cervicis 45.1 → serratus posterior superior 46.5 → levatores costarum longi 55.6 → external intercostal muscle 58.8 → Pleura 71.1","0→17mm(Transverse part trapezius 앞); 25→39mm(rhomboid major 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"ST10","목·어깨윗부분","중대","수동","흉쇄유돌근 앞모서리 → 어깨목뿔근·복장목뿔근 → 깊이 경동맥","21 mm에서 방패연골 충돌 → 위치가 후두 위","해부","흉쇄유돌근 앞모서리로 이동","13","platysma 3.1 → sternohyoid 14.2 → sternothyroid 19.8 → Thyroid cartilage 21.3","","","","","直刺 0.3～0.4寸 (外方에서 內側을 향하여 刺入) (모델 상한 7.3 mm)","",""
"ST11","목·어깨윗부분","중대","수동","넓은목근 → 흉쇄유돌근 두 갈래 사이 → 복장목뿔근 → 속목정맥·팔머리정맥 → 흉막꼭대기","팔머리정맥 교차 @14.8(위험 표시는 적절)인데 복장목뿔근이 정맥보다 깊게 나옴 → 메시 겹침/순서 오류","해부","정합 수정","직접 시드","platysma 0.4 → sternocleidomastoid 3 → brachiocephalic vein 14.8 → sternohyoid 18.5 → Pleura 42","","26→42mm(Pleura 앞)","internal jugular vein 1.5mm옆@24.5; subclavian vein 1.2mm옆@25.1; common carotid artery 4.1mm옆@28.3; Brachiocephalic artery 5mm옆@37.1; subclavian artery 1.2mm옆@41.5","brachiocephalic vein@14.8; Pleura@42","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"BL38","무릎·오금","중대","수동","BL39와 같음 (1寸 위)","오금동맥 교차 @39, 온종아리신경 미표시","해부","같음","3","Lateral head gastrocnemius 27.1 → plantaris 30.7 → popliteal artery 39.2 → femur 59","","0→27mm(Lateral head gastrocnemius 앞); 47→59mm(femur 앞)","Tibial nerve 1.9mm옆@31.3; small saphenous vein 1.4mm옆@32.7; middle genicular artery 0.4mm옆@42.3","popliteal artery@39.2","直刺 0.5～1寸 (모델 상한 22.3 mm)","",""
"GB33","무릎·오금","중대","자동(방향)","","","","","27","Long head biceps femoris 13.2 → Short head biceps femoris 19.8 → fibula 21.4","Long head biceps femoris 14.3 → fibula 25.7","0→13mm(Long head biceps femoris 앞)","","","直刺 0.3～0.5寸 (모델 상한 11.9 mm)","",""
"KI10","무릎·오금","중대","수동","반힘줄근·반막근 힘줄 사이 → 장딴지근 안쪽갈래","방향 58°, 힘줄 구조 없음","해부","방향","58","femur 54.7","great saphenous vein 5.4 → tibia 38.8","0→55mm(femur 앞)","great saphenous vein 4.2mm옆@3.1; middle genicular artery 1.1mm옆@25.6; popliteal artery 1.8mm옆@44; popliteal vein 3.6mm옆@51.3","","0.5～1寸 直刺 (모델 상한 22.3 mm)","",""
"SP9","무릎·오금","중대","수동","(정강뼈 뒤모서리 따라, 원문 GB34 투자) 장딴지근 안쪽갈래/오금근","9 mm에서 정강뼈 충돌","검수 메모: 뼈에 가깝게 앞으로","위치·방향","15","semimembranosus 4.4 → tibia 9.1","semimembranosus 4.2 → tibia 9","","","","直刺 0.5～1寸 (모델 상한 23.8 mm)","",""
"CV1","배·샅","중대","수동","회음중심 → 망울해면체근 → 항문올림근","방향 63°로 복강 쪽 102 mm","해부","방향 보정","63","","","","","","直刺 0.3～1寸 (鍼灸甲乙經 : 2寸) (모델 상한 29.7 mm)","",""
"CV3","배·샅","중대","자동(방향)","","","","","72","Linea alba 33.5 → Middle part of ileum 38.2","","0→34mm(Linea alba 앞)","","Middle part of ileum@38.2","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV4","배·샅","중대","자동(방향)","","","","","25","Linea alba 30 → Middle part of ileum 48.8","external oblique 27 → internal oblique 27.5 → rectus abdominis 29.2 → internal oblique 29.2 → transversus abdominis 32 → Distal part of ileum 47.3","0→30mm(Linea alba 앞); 31→49mm(Middle part of ileum 앞)","Middle part of ileum 2.1mm옆@32.6; Distal part of ileum 2.8mm옆@47.6","Middle part of ileum@48.8","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV10","배·샅","중대","자동(방향)","","","","","82","Linea alba 15.4 → Transverse colon 20","","0→15mm(Linea alba 앞)","","Transverse colon@20","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"GB25","배·샅","중대","수동","12번 갈비뼈 끝 아래: 배바깥·속빗근 → 배가로근 → (콩팥)","콩팥 39 mm로 얕음, 배속빗근 누락, 시드가 피부에서 35 mm","원문: 不宜深刺","위치 재확인","4","external oblique 15.4 → transversus abdominis 26.1 → Diaphragm 30.4 → kidney 39.3","","0→15mm(external oblique 앞)","Intercostal nerves 4.8mm옆@20.1","kidney@39.3","直刺 0.3～0.5寸 (不宜深刺) (모델 상한 10.1 mm)","",""
"GB26","배·샅","중대","자동(방향)","","","","","35","external oblique 10.6 → internal oblique 24.5 → Ascending colon 25.3","external oblique 15.3 → Ascending colon 26.9","0→11mm(external oblique 앞)","iliolumbar vein 1.5mm옆@15.4; Ilio-inguinal nerve 3.8mm옆@20.6","Ascending colon@25.3","直刺 0.5～0.8寸 (모델 상한 17.8 mm)","",""
"GB28","배·샅","중대","수동","위앞엉덩뼈가시 앞아래: 샅고랑인대·빗근층 → 엉덩근 (가쪽넙다리피부신경)","넙다리빗근·넙다리곧은근 쪽 → 넓적다리로 내려간 위치","WHO","위치","11","sartorius 31.4 → rectus femoris 49.7 → iliacus 55.2 → femur 72.5","","0→31mm(sartorius 앞); 35→50mm(rectus femoris 앞)","","","直刺 0.5～0.8寸 (모델 상한 23.8 mm)","",""
"KI11","배·샅","중대","수동","(궁상선 아래) 복직근집 앞층 → 복직근/배세모근 → 가로근막 → (방광)","배가로근 → 배속빗근 → 배바깥빗근 → 복직근 완전 역순","해부","복벽 정합","5","transversus abdominis 24.7 → internal oblique 26.4 → external oblique 32.5 → rectus abdominis 35.1 → Distal part of ileum 40.6","","0→25mm(transversus abdominis 앞)","","Distal part of ileum@40.6","直刺 0.5～0.8寸 (모델 상한 23.8 mm)","",""
"KI12","배·샅","중대","수동","(0.5寸 가쪽) 복직근집 앞층 → 복직근 → 가로근막 → 복막","면 법선 85° 오류, 복직근 없이 백색선","해부","위치·방향","85","external oblique 25.5 → Linea alba 31.5 → Middle part of ileum 36.6","","0→26mm(external oblique 앞)","","Middle part of ileum@36.6","直刺 0.5～0.8寸 (모델 상한 23.8 mm)","",""
"KI13","배·샅","중대","수동","KI12와 같음","복직근 없이 백색선 → 소장. 위치가 정중선에 너무 가까움","해부","위치","6","Linea alba 29.3 → Middle part of ileum 33.7","","0→29mm(Linea alba 앞)","","Middle part of ileum@33.7","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI18","배·샅","중대","자동(방향)","","","","","40","external oblique 13.1 → internal oblique 13.4 → rectus abdominis 15.4 → internal oblique 23.1 → transversus abdominis 25.5 → Transverse mesocolon 39.1","Linea alba 20.6 → transversus abdominis 27.8 → Transverse colon 31.4","0→13mm(external oblique 앞); 26→39mm(Transverse mesocolon 앞)","superior epigastric artery 1.1mm옆@20.7; Middle colic artery 1.8mm옆@34.9; Middle colic vein 1.5mm옆@36.7; gastro-epiploic artery 4.5mm옆@38.6; Stomach 4.7mm옆@42","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"LR12","배·샅","중대","수동","두덩결절 옆 → 넙다리정맥 안쪽","면 법선 69° 오류, 복벽 층 순서 오류","해부","방향·정합","69","external oblique 24.2 → transversus abdominis 24.3 → internal oblique 25.2 → inguinal ligament 33.9 → Distal part of ileum 41.4","","0→24mm(external oblique 앞)","superficial epigastric vein 3.4mm옆@19.6; superficial epigastric artery 4mm옆@20.2; Distal part of ileum 0.8mm옆@37.2; femoral artery 4.2mm옆@42.9; deep femoral vein 1.9mm옆@45.5","Distal part of ileum@41.4","直刺 0.3～0.5寸 (모델 상한 14.9 mm)","",""
"ST23","배·샅","중대","자동(방향)","","","","","41","internal oblique 14.9 → external oblique 16.6 → rectus abdominis 19.4 → internal oblique 21.3 → transversus abdominis 31.4 → Transverse colon 34.4","external oblique 20.4 → internal oblique 21.3 → rectus abdominis 24.4 → internal oblique 35.3 → transversus abdominis 35.7 → internal oblique 41.1 → Transverse colon 43.6","0→15mm(internal oblique 앞)","","Transverse colon@34.4","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST24","배·샅","중대","자동(방향)","","","","","25","internal oblique 16.4 → external oblique 17 → rectus abdominis 19.4 → internal oblique 31.1 → transversus abdominis 31.2 → Distal part of jejunum 35","internal oblique 20.1 → external oblique 20.9 → rectus abdominis 21.8 → transversus abdominis 39.4 → internal oblique 39.5 → Distal part of jejunum 44.8","0→16mm(internal oblique 앞)","","Distal part of jejunum@35","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST29","배·샅","중대","자동(방향)","","","","","64","superficial epigastric vein 5.6 → internal oblique 21.7 → external oblique 24 → rectus abdominis 26.3 → transversus abdominis 30.3 → Middle part of ileum 35.3","external oblique 34.7 → internal oblique 35.1 → rectus abdominis 37.1 → internal oblique 62.5 → Proximal part of ileum 77.7","9→22mm(internal oblique 앞)","Middle part of ileum 1.4mm옆@35","superficial epigastric vein@5.6; Middle part of ileum@35.3","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"LI8","아래팔","중대","자동(방향)","","","","","61","brachioradialis 6.2 → supinator 28.3 → radius 31.9","brachioradialis 8.1","18→28mm(supinator 앞)","","","直刺 0.5～0.8寸 (모델 상한 17.9 mm)","",""
"LI10","아래팔","중대","수동","긴·짧은노쪽손목폄근 → 손뒤침근 (노신경 깊은가지)","손목폄근·손뒤침근 누락, 위팔노근 → 25 mm에서 노뼈","해부","—","4","brachioradialis 3.4 → radius 24.9","","","radial recurrent artery 4.2mm옆@22","","直刺 0.5～1.2寸 (모델 상한 26.9 mm)","",""
"PC4","아래팔","중대","수동","긴손바닥근·노쪽손목굽힘근 힘줄 사이 → 얕은손가락굽힘근 → 정중신경 → 깊은손가락굽힘근","방향 53°. 정중신경 2.6 mm 근접 미표시","해부","방향 보정, 근접 표시","53","flexor carpi radialis 1.5 → flexor digitorum superficialis 6.1 → flexor digitorum profundus 13.3 → ulna 29.9","palmaris longus 3.3 → Humeral head flexor carpi ulnaris 22.5","","ulnar vein 4.5mm옆@14; Median nerve 2.6mm옆@17.2","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"SI7","아래팔","중대","자동(방향)","","","","","33","Ulnar head flexor carpi ulnaris 9.5 → ulna 21","extensor carpi ulnaris 19 → extensor carpi ulnaris 21.9 → abductor pollicis longus 29.5 → extensor carpi radialis brevis 47.4","","","","直刺 0.3～0.5寸 (모델 상한 11.2 mm)","",""
"TE7","아래팔","중대","자동(방향)","","","","","26","extensor digiti minimi 12.6 → extensor pollicis longus 18.6 → extensor pollicis brevis 28.7 → Interosseous membrane forearm 29.5 → pronator quadratus 31.1 → anterior interosseous artery 33.4 → flexor digitorum profundus 35.7 → flexor digitorum superficialis 43.3 → flexor carpi radialis 50.8","extensor carpi ulnaris 14.5 → extensor carpi ulnaris 16.8 → extensor indicis 23.5 → ulna 24","0→13mm(extensor digiti minimi 앞)","Anterior interosseous nerve of forearm 4.4mm옆@27.7; Median nerve 5mm옆@39.9; median antebrachial vein 3.5mm옆@54.5","anterior interosseous artery@33.4","直刺 0.5～0.9寸 (모델 상한 20.2 mm)","",""
"TE9","아래팔","중대","자동(방향)","","","","","28","extensor carpi ulnaris 20 → abductor pollicis longus 31 → Interosseous membrane forearm 39.8 → flexor digitorum profundus 42.5 → flexor digitorum superficialis 54.1","extensor digitorum 16.7 → extensor carpi radialis brevis 26.3 → Humeral head pronator teres 47.1 → radial artery 51.5 → brachioradialis 54.6 → Lateral antebrachial cutaneous nerve 68.7","0→20mm(extensor carpi ulnaris 앞)","Posterior interosseous nerve of forearm 1.7mm옆@35.9; Anterior interosseous nerve of forearm 4.2mm옆@38.3; anterior interosseous artery 0.2mm옆@44.3","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"LI15","어깨·견갑","중대","수동","(팔 벌림) 어깨세모근 → 어깨세모근밑주머니 → 가시위근 힘줄 → 관절","삼각근 두께 4.9 mm, 8.6 mm에서 위팔뼈. 팔 내린 모델 자세 영향","해부","자세 불일치 표기","16","Acromial part deltoid 0 → supraspinatus 4.9 → humerus 8.6","Acromial part deltoid 0 → supraspinatus 4.8 → humerus 9.2","","","","直刺 0.5～1.2寸 (모델 상한 24 mm)","",""
"SI9","어깨·견갑","중대","수동","어깨세모근 뒤부분 → 작은원근/큰원근 → 위팔세갈래근 긴갈래 (사각공간: 겨드랑신경·뒤위팔휘돌이동맥)","삼각근 뒤 34→72 mm 공백. 필수 근육 3개 누락","해부","검수 메모('좌표 대폭 수정') 선행, 공백 원인 확인","25","Spinal part deltoid 24.4 → humerus 72.7","Long head triceps brachii 54.1","0→24mm(Spinal part deltoid 앞); 34→73mm(humerus 앞)","","","直刺 0.5～1寸 (모델 상한 20 mm)","",""
"SI10","어깨·견갑","중대","수동","어깨세모근 뒤부분 → 가시아래근 → 어깨관절오목 목","방향 39°로 아래로 가서 작은원근·세갈래근을 지나 84 mm에서 노신경","해부","위치 수정 선행, 방향 보정","21","Spinal part deltoid 13.2 → infraspinatus muscle 31.6 → teres minor 42.7 → Long head triceps brachii 61.3","Spinal part deltoid 14.3 → infraspinatus muscle 31.5 → scapula 62.7","0→13mm(Spinal part deltoid 앞)","circumflex scapular vein 3.7mm옆@66.9","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"SI11","어깨·견갑","중대","수동","(피하) → 가시아래근 → 가시아래오목(뼈)","방향 53~65° 편차로 척추 쪽 진행, 가시아래근·견갑골 누락. 시드가 피부에서 23 mm 떨어짐","해부","검수 메모('좌표 전면 수정') 선행","53","Ascending part trapezius 15.6 → rhomboid major 53.6 → dorsal scapular artery 53.6 → longissimus thoracis 64.6 → longissimus cervicis 79.4 → Fifth thoracic vertebra 81.8","infraspinatus muscle 18.6 → scapula 35.7","0→16mm(Ascending part trapezius 앞)","","dorsal scapular artery@53.6","直刺 0.5寸 (모델 상한 10.1 mm)","",""
"BL27","엉치·볼기","중대","자동(방향)","","","","","58","iliocostalis lumborum 23.5 → gluteus maximus 28.1 → Posterior sacro-iliac ligamentr 34.6 → quadratus lumborum 36.1 → Sacrum 37.3","gluteus maximus 39.7","0→24mm(iliocostalis lumborum 앞)","","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL28","엉치·볼기","중대","수동","엉치뼈 뒷면 (둘째 엉치뼈구멍 높이)","큰볼기근 → 궁둥구멍근 → 궁둥신경(74.5 mm) → 위치가 엉치뼈 가쪽","검수 메모: 높이 재조정","위치 수정 선행","50","gluteus maximus 25.4 → piriformis 64.3 → Sciatic nerve 74.5 → hip bone 85.1","gluteus maximus 49.5","0→25mm(gluteus maximus 앞); 47→64mm(piriformis 앞)","","Sciatic nerve@74.5","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL30","엉치·볼기","중대","수동","엉치뼈 가쪽 (넷째 엉치뼈구멍 높이)","궁둥신경 교차 67.7 mm","같음","같음","5","gluteus maximus 25.4 → Sciatic nerve 67.7 → piriformis 71.1 → hip bone 80.3","","0→25mm(gluteus maximus 앞); 50→68mm(Sciatic nerve 앞)","inferior gluteal vein 1.8mm옆@56.7","Sciatic nerve@67.7","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL31","엉치·볼기","중대","수동","뭇갈래근 → 첫째 뒤엉치뼈구멍","뭇갈래근 누락, 구멍이 아닌 엉치뼈 면","검수 메모: 구멍 직접 타겟","위치 수정 선행","4","iliocostalis lumborum 12.6 → Posterior sacro-iliac ligamentr 31.7 → gluteus maximus 33.3 → Sacrum 33.6","","0→13mm(iliocostalis lumborum 앞)","","","直刺 0.5～1.2寸 (刺入仙骨後孔內) (모델 상한 24.3 mm)","",""
"BL32","엉치·볼기","중대","자동(방향)","","","","","29","iliocostalis lumborum 14.9 → Posterior sacro-iliac ligamentr 33.6 → Posterior sacro-iliac ligamentr 34.4 → gluteus maximus 35 → Sacrum 35.2","iliocostalis lumborum 11.1 → iliocostalis lumborum 15.4 → longissimus thoracis 21.5 → Posterior sacro-iliac ligamentr 25.8 → Posterior sacro-iliac ligamentr 27.8 → Sacrum 30.4","0→15mm(iliocostalis lumborum 앞)","","","直刺 0.5～1寸 (刺入仙骨後孔內) (모델 상한 20.2 mm)","",""
"BL33","엉치·볼기","중대","수동","뭇갈래근 → 셋째 뒤엉치뼈구멍","큰볼기근 → 궁둥구멍근 → 궁둥신경 → 위치가 엉치뼈 가쪽","같음","같음","2","gluteus maximus 28 → piriformis 69.1 → Sciatic nerve 69.5 → hip bone 84.9","","0→28mm(gluteus maximus 앞); 50→69mm(piriformis 앞)","","Sciatic nerve@69.5","直刺 0.5～1寸 (刺入仙骨後孔內) (모델 상한 20.2 mm)","",""
"BL34","엉치·볼기","중대","수동","넷째 뒤엉치뼈구멍","방향 47°, 궁둥신경 1.7 mm @77.7","같음","같음","47","gluteus maximus 27.9 → multifidus 38.5 → inferior gluteal vein 57.8 → piriformis 65.6 → Posterior femoral cutaneous nerve 66.3 → hip bone 92.5","gluteus maximus 45.8","0→28mm(gluteus maximus 앞); 74→93mm(hip bone 앞)","internal pudendal vein 3.4mm옆@73.9; Sciatic nerve 1.7mm옆@77.7","inferior gluteal vein@57.8","直刺 0.5～1寸 (刺入仙骨後孔內) (모델 상한 20.2 mm)","",""
"BL35","엉치·볼기","중대","수동","꼬리뼈 끝 옆 → 큰볼기근 → 궁둥항문오목","70 mm에서 궁둥신경 → 방향이 가쪽","해부","방향","21","gluteus maximus 16.3 → Sciatic nerve 70 → piriformis 76.7 → hip bone 97.3","gluteus maximus 18.1","0→16mm(gluteus maximus 앞); 44→70mm(Sciatic nerve 앞)","","Sciatic nerve@70","直刺 0.3～0.8寸 (모델 상한 16.2 mm)","",""
"BL54","엉치·볼기","중대","수동","큰볼기근 → 궁둥구멍근 아래 → 궁둥신경","궁둥신경 근접 없음 (임상적으로 궁둥신경 자극 혈)","해부","위치 확인","7","gluteus maximus 18.6 → piriformis 67","","0→19mm(gluteus maximus 앞); 46→67mm(piriformis 앞)","","","直刺 0.5～1.5寸 (모델 상한 30.3 mm)","",""
"GB29","엉치·볼기","중대","수동","넙다리근막긴장근 → 중간볼기근 → 작은볼기근 → 엉덩뼈/관절주머니","중간·작은볼기근 누락, 넙다리곧은근 쪽으로 감. 시드가 피부에서 28 mm","해부","위치·방향","15","iliotibial tract 2.9 → tensor fasciae latae 6.2 → rectus femoris 40.3 → hip bone 62.6","iliotibial tract 2.7 → femur 60.3","12→40mm(rectus femoris 앞)","","","直刺 0.5～1寸 (모델 상한 22.3 mm)","",""
"GB30","엉치·볼기","중대","수동","큰볼기근 → 위·아래쌍둥이근/속폐쇄근 → (안쪽에 궁둥신경)","궁둥신경 12 mm 밖, 큰볼기근 → 넙다리네모근","KIOM·원광대 고위험 44혈(영상만)","궁둥신경 거리 표시","4","gluteus maximus 22.5 → quadratus femoris 51.2","","0→23mm(gluteus maximus 앞); 41→51mm(quadratus femoris 앞)","","","直刺 1～2寸 또는 2～3寸 (모델 상한 44.5 mm)","",""
"HT3","위팔·팔꿈치","중대","수동","원엎침근 → 위팔근 (가쪽에 정중신경·위팔동맥, 뒤에 자신경)","원엎침근 누락, 정중신경·위팔동맥 8 mm 밖","해부","위치 확인","3","brachialis 18.1 → humerus 25.7","","0→18mm(brachialis 앞)","basilic vein 3.3mm옆@16.1","","直刺 0.3～0.8寸 (모델 상한 16 mm)","",""
"LI11","위팔·팔꿈치","중대","수동","긴노쪽손목폄근/위팔노근 → 위팔근 (사이 깊이에 노신경)","긴노쪽손목폄근 누락, 32.7 mm에서 위팔뼈. 노신경 4.8 mm 근접 미표시","해부","근접 표시","5","brachioradialis 11.5 → humerus 32.7","","0→12mm(brachioradialis 앞)","Radial nerve 4.8mm옆@14","","直刺 0.5～1.5寸 (모델 상한 30 mm)","",""
"LU5","위팔·팔꿈치","중대","수동","위팔노근 → 위팔근 (사이에 노신경)","19 mm 공백 뒤 위팔근. 위팔노근·노신경 누락","해부","위치 확인(검수 메모: 주름 바로 위)","직접 시드","brachialis 19.4 → humerus 39.6","","0→19mm(brachialis 앞)","cephalic vein 4.8mm옆@10.4","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"BL57","종아리","중대","수동","장딴지근 → 가자미근 → (정강신경·뒤정강혈관) → 뒤정강근","정강신경 근접 없음","해부","확인","5","Lateral head gastrocnemius 12.7 → soleus 20 → fibular vein 32.9 → tibialis posterior 55.9 → tibia 64.5","","0→13mm(Lateral head gastrocnemius 앞); 41→56mm(tibialis posterior 앞)","Sural nerve 2mm옆@22.2","fibular vein@32.9","0.5～1.5寸 直刺 (모델 상한 35.7 mm)","",""
"KI7","종아리","중대","자동(방향)","","","","","29","posterior tibial vein 0 → posterior tibial artery 7.6 → soleus 9.8 → flexor hallucis longus 29.3 → fibularis brevis 42.9 → fibularis longus 54.4","posterior tibial vein 0 → plantaris 4.1 → calcaneal tendon 8.7 → soleus 10.4 → calcaneal tendon 21.1 → calcaneal tendon 21.5","10→29mm(flexor hallucis longus 앞)","fibular vein 2.4mm옆@20.7; fibular artery 1.6mm옆@29","posterior tibial vein@0; posterior tibial artery@7.6","0.3～0.5寸 直刺 (모델 상한 11.9 mm)","",""
"SP6","종아리","중대","수동","긴발가락굽힘근 → 뒤정강근 → 긴엄지굽힘근 (뒤에 뒤정강동정맥·정강신경)","뒤정강근 누락, 정강신경 3 mm 근접 미표시","해부","근접 표시","2","flexor digitorum longus 5.9 → flexor hallucis longus 27.2 → fibularis brevis 50.4","","","Tibial nerve 3mm옆@31.9","","1～1.5寸 直刺 (모델 상한 35.7 mm)","",""
"ST36","종아리","중대","수동","앞정강근 → 뼈사이막(앞정강동맥·깊은종아리신경) → 뒤정강근","층 순서 정상. 앞정강동맥 4.7 mm 근접 미표시, 깊이 40 mm","Choi 2026 초음파 https://doi.org/10.1016/j.imr.2026.101305: 앞정강동맥 HD50 25 mm (모델 15 mm 깊음)","근접 표시, 깊이 차이 표기","3","tibialis anterior 8.7 → Interosseous membrane leg 36.1 → tibialis posterior 40.3 → popliteal artery 48.9 → soleus 59.5 → Lateral head gastrocnemius 78.9","","","anterior tibial artery 4.7mm옆@40.1; Tibial nerve 2.6mm옆@59.3","popliteal artery@48.9","0.5～1.5寸 直刺 (모델 상한 35.7 mm)","",""
"ST40","종아리","중대","자동(방향)","","","","","39","tibialis anterior 6.4 → Interosseous membrane leg 24.3 → tibialis posterior 26.7 → soleus 52.3","extensor digitorum longus 15 → fibularis longus 29.7 → soleus 48.8 → Lateral head gastrocnemius 58.1","42→52mm(soleus 앞)","Deep fibular nerve 3.4mm옆@25.8","","0.5～1寸 直刺 (모델 상한 23.8 mm)","",""
"KI23","가슴","보통","자동(근접 미표시)","","","","","5","Sternocostal part pectoralis major 4.3 → internal intercostal muscle 21 → Pleura 34.7","","25→35mm(Pleura 앞)","Intercostal nerves 3.3mm옆@33.2","Pleura@34.7","直刺 0.2～0.4寸 (모델 상한 6.8 mm)","",""
"KI24","가슴","보통","자동(공백)","","","","","2","Sternocostal part pectoralis major 6.2 → internal intercostal muscle 24.4 → Pleura 38","","26→38mm(Pleura 앞)","","Pleura@38","直刺 0.2～0.4寸 (不可深刺) (모델 상한 6.8 mm)","",""
"KI27","가슴","보통","자동(근접 미표시)","","","","","1","Sternocostal part pectoralis major 14.2 → first costal cartilage 24.4","","0→14mm(Sternocostal part pectoralis major 앞)","anterior intercostal veins 1.5mm옆@26.2","","直刺 0.2～0.4寸 (不可深刺) (모델 상한 6.8 mm)","",""
"PC1","가슴","보통","자동(근접 미표시)","","","","","9","Sternocostal part pectoralis major 3.1 → external intercostal muscle 33 → internal intercostal muscle 35 → innermost intercostal muscle 36.3 → Pleura 44.2","","","Lateral pectoral nerve 4.8mm옆@3.4","Pleura@44.2","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"SP17","가슴","보통","자동(근접 미표시)","","","","","9","Sternocostal part pectoralis major 13.1 → external intercostal muscle 37.9 → internal intercostal muscle 39.6 → innermost intercostal muscle 40.5 → Pleura 49.5","","0→13mm(Sternocostal part pectoralis major 앞)","Lateral pectoral nerve 0.9mm옆@12.7","Pleura@49.5","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"SP19","가슴","보통","자동(근접 미표시)","","","","","2","Sternocostal part pectoralis major 8.3 → Sternocostal part pectoralis major 22.2 → pectoralis minor 32.7 → external intercostal muscle 43.5 → internal intercostal muscle 45.2 → innermost intercostal muscle 46.5 → Pleura 53.6","","","Lateral pectoral nerve 1.2mm옆@12.2","Pleura@53.6","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
